sorting_algorithm,num_trials,sequence_type,size,time,avg_time
merge_sort,10,random,100,202gu5-03-15 14:43:15,0.0003119468688964844
merge_sort,10,random,500,2025-03-15 14:43:15,0.0013061285018920899
merge_sort,10,random,1000,2025-03-15 14:43:16,0.0022968053817749023
merge_sort,10,random,3000,2025-03-15 14:43:16,0.005750346183776856
merge_sort,10,random,5000,2025-03-15 14:43:16,0.010617780685424804
merge_sort,10,random,7000,2025-03-15 14:43:16,0.014989590644836426
merge_sort,10,random,10000,2025-03-15 14:43:16,0.023151588439941407
merge_sort,10,random,20000,2025-03-15 14:43:17,0.050268149375915526
merge_sort,10,random,30000,2025-03-15 14:43:18,0.07500560283660888
merge_sort,10,random,40000,2025-03-15 14:43:19,0.11098313331604004
merge_sort,10,random,50000,2025-03-15 14:43:21,0.13012638092041015
merge_sort,10,increasing,100,2025-03-15 14:43:21,0.00020711421966552735
merge_sort,10,increasing,500,2025-03-15 14:43:21,0.0006261110305786133
merge_sort,10,increasing,1000,2025-03-15 14:43:21,0.0012565374374389649
merge_sort,10,increasing,3000,2025-03-15 14:43:21,0.004819536209106445
merge_sort,10,increasing,5000,2025-03-15 14:43:21,0.008869242668151856
merge_sort,10,increasing,7000,2025-03-15 14:43:21,0.012609744071960449
merge_sort,10,increasing,10000,2025-03-15 14:43:21,0.019724369049072266
merge_sort,10,increasing,20000,2025-03-15 14:43:22,0.04059600830078125
merge_sort,10,increasing,30000,2025-03-15 14:43:23,0.06266579627990723
merge_sort,10,increasing,40000,2025-03-15 14:43:24,0.08835077285766602
merge_sort,10,increasing,50000,2025-03-15 14:43:25,0.11001999378204345
merge_sort,10,decreasing,100,2025-03-15 14:43:25,0.0
merge_sort,10,decreasing,500,2025-03-15 14:43:25,0.0005061864852905273
merge_sort,10,decreasing,1000,2025-03-15 14:43:25,0.0016608238220214844
merge_sort,10,decreasing,3000,2025-03-15 14:43:25,0.004438352584838867
merge_sort,10,decreasing,5000,2025-03-15 14:43:25,0.009349417686462403
